,company,location,location_code,salary,summary,title,target,senior
5,Momentum LLC,"Indianapolis, IN",13.0,85000.0,"The ideal candidate will assist the team of data scientists in completing large big data analyses in various industries such as health care, engineering,...",Microsoft Business Intelligence Data Engineer,0,0
30,Technical Recruiting Solutions,"Indianapolis, IN",13.0,60000.0,Supports Clinical Data Manager with data reviews. Analyzes the interrelationships of data and defines logical aspects of data sets....,Statistician / SAS Programmer,0,0
3,Emerald Resource Group,"Columbus, OH",14.0,160000.0,Data Scientist Ph.D. Minumum of Ph.D for Data Scientist title. The plan is to expand to over 100 data science and data engineers within the next 18 mos.!...,Data Scientist Ph.D,1,0
7,Emerald Resource Group,"Columbus, OH 43205 (Near East area)",14.0,85000.0,Predictive Analytics - Data Scientist. Do you consider yourself a Data Scientist? Are you interested in true Big Data environments?...,Predictive Analytics - Data Scientist,0,0
23,Emerald Resource Group,"Columbus, OH 43205 (Near East area)",14.0,110000.0,Data Scientist - Healthcare Data Analytics. Do you consider yourself a Data Scientist? Are you interested in true Big Data environments?...,Data Scientist-Senior/Ph.D,0,1
14,Sagecrest Hospital,"Grapevine, TX",15.0,65000.0,"Reviews drug confirmation data from the laboratory, compares with the initial screening data for accuracy and release the results....",Certifying Scientist Toxicologist,0,0
17,The Exchange (AAFES),"Dallas, TX 75236 (Southwest Dallas area)",15.0,85000.0,"We are looking for someone who can mine big data, understand complicated systems, and translate into streamlined processes--a hands-on person capable of getting...",SR Data Scientist / Customer Analytic Manager,0,1
6,Level Education from Northeastern University,"Charlotte, NC",16.0,120000.0,"Data analyst, data scientist, management consultant, financial analyst) and some instruction experience; Deep data analytics:....",Data Analytics Instructor,1,0
11,Oak Grove Partners,"Charlotte, NC",16.0,120000.0,Data Visualization Tools:. Facilitate fast and efficient discovery of insights from data. Build dashboard widgets that enable customers/internal stakeholders to...,Data Scientist,1,0
36,AppleOne Employment Services,"Charlotte, NC",16.0,150000.0,"Assessing conceptual foundations of a model, model specification, underlying assumptions, limitations, variable selection, underlying data, developmental...",Senior Quantitative Finance Analyst,1,1
38,Selby Jennings,"Charlotte, NC",16.0,120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be responsible for developing,Senior Quantitative Analyst - Multiple Vacancies,1,1
43,Oscar Technology,"Charlotte, NC",16.0,130000.0,We are looking for a Marketing Scientist to partner with our clients to aid them in better using their marketing data....,Sr Marketing Data Scientist,1,1
49,Selby Jennings,"Charlotte, NC",16.0,150000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,SVP Quantitative Analyst - Multiple Vacancies,1,0
50,Selby Jennings,"Charlotte, NC",16.0,150000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Quantitative Analyst - Multiple Vacancies,1,0
52,Identifize Consulting,"Charlotte, NC",16.0,175000.0,"Discrete response models, statistical distributions, panel data). Reviewing conceptual soundness of models, mathematical specification, underlying assumptions...",Superstar Senior Quantitative Finance Analyst,1,1
58,Selby Jennings,"Charlotte, NC",16.0,150000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Quantitative Credit Risk Analyst,1,0
59,Selby Jennings,"Charlotte, NC",16.0,120000.0,A Top Tier Investment Bank is looking for an experienced risk quant to join their Global Analytics team. This person will be Responsible for independently,Senior Quantitative Analyst - Credit Risk,1,1
36,Level Education from Northeastern University,"Seattle, WA",17.0,125000.0,"Data analyst, data scientist, management consultant, financial analyst) and some instruction experience; Deep data analytics:....",Data Analytics Instructor,1,0
11,City and County of Denver,"Denver, CO 80216 (Northern Denver area)",18.0,55132.0,"Law enforcement experience involving statistical and data analysis; Develops error checking programs and assures data collected is reliable, timely and valid...",Senior Statistical Researcher - Sheriff Department,0,1
12,VincentBenjamin,"Westminster, CO",18.0,120000.0,"We are seeking a talented Data Scientist who can contribute brilliantly to a team. Retrieve, clean, transform and overlay 3rd-party data....",Sr Data Scientist,1,1
14,Denver Public Schools,"Denver, CO 80204 (Central West Denver area)",18.0,64843.0,"Assist research team members in fulfilling data requests submitted by district, school staff, and external stakeholders....","SENIOR RESEARCH ANALYST, ACCOUNTABILITY - 16525",0,0
44,SearchAccountingJobs,"Denver, CO",18.0,150000.0,"The client is looking for talented individuals who love data, love solving business problems, and want to see their recommendations in action....",Lead Quantitative Analyst,1,1
46,xentity corporation,"Denver, CO",18.0,95000.0,"Validate data models (logical and physical) for adherence to data management standards. Maintain a data dictionary containing information about data, including...",Government Enterprise Architect,0,0
49,"Gunther Douglas, Inc.","Superior, CO",18.0,95000.0,"Gunther Douglas’ client is seeking a Data Scientist for a 6 month contract-to-hire opportunity in located Superior, CO....",Data Scientist,0,0
47,Altair Engineering,"Farmington Hills, MI",20.0,90000.0,"Must be proficient to create and understand engineering drawings and CAD data. Altair ProductDesign is a global, multi-disciplinary product development...",Cockpit Module/Instrument Panel Project Engineer,0,0
48,Altair Engineering,"Farmington Hills, MI",20.0,80000.0,"Quality data analysis, seeking to more accurately predict. Altair ProductDesign is a global, multi-disciplinary product development consultancy of more than 700...",CPM Harness Project Engineer,0,0
57,Altair Engineering,"Plymouth, MI",20.0,100000.0,"Have familiarity using MBD model to cascade load data to support durability analysis. Altair ProductDesign is a global, multi-disciplinary product development...",Vehicle Dynamics CAE Engineer,0,0
64,Altair Engineering,"Troy, MI",20.0,100000.0,"Ability to interpret automotive drawings, specifications, and math data. Altair ProductDesign is a global, multi-disciplinary product development consultancy of...",Complete Seat Engineer,0,0
72,Altair Engineering,"Plymouth, MI",20.0,125000.0,"Experience in road load data acquisition and post-processing also highly sought. Altair ProductDesign is a global, multi-disciplinary product development...",Senior CAE Engineer/ FEA-Chassis,1,1
7,Centers for Disease Control and Prevention,"Hyattsville, MD",21.0,112021.0,"Or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health...",Statistician (Health),1,0
8,Analytic Recruiting,"Washington, DC",21.0,70000.0,"Data Analyst / Junior Data Scientist sought by Fortune 500 company in their Washington, DC area offices. Design and implement data mining techniques on large...",Data Analyst – Junior Data Scientist,0,0
41,U.S. Department of Labor,"Washington, DC",21.0,94796.0,"Economic Data Management & Analysis. Editing and finalizing data analysis, reports, papers, articles, and projects;...",Economist / Statistician (Economics),0,0
73,US Food and Drug Administration,"Silver Spring, MD",21.0,92145.0,"As a Digital Health Scientist at the world renowned U.S. Software lifecycle management processes (premarket and postmarket) , mobile medical apps,...",Digital Health Scientist (Physicians/Nurses),0,0
78,TULKORP.,"Alexandria, VA",21.0,145000.0,"Supports GEOINT analysis and operation support for data processing, data analysis and analytic support. Lead a research “Grand Challenge” effort addressing...",OPIR Scientist 3 - Program Lead,1,1
86,TULKORP.,"Alexandria, VA",21.0,110000.0,"Test existing motion GEOINT algorithms against Future TCPED surrogate and synthetic data. Applicants must demonstrate experience in motion imagery exploitation,...",Scientist 2,0,0
90,Jobspring Partners,"Arlington, VA 22202 (Aurora Highlands area)",21.0,130000.0,"Washington, D.C.'s most recognizable brand is currently looking to hire a Python Developer, which will offer candidates UI development exposure to high traffic",Data Scientist (Text Analytics) Machine Learning,1,0
37,The Bivium Group,"Boston, MA",22.0,140000.0,"Key need is a Data Scientist (3+ years), MUST Have prior startup experience. Large data sets, working with distributed computing tools a plus (Map/Reduce,...","Data Scientist - Fintech startup, R, Python, big data",1,0
69,The Bivium Group,"Boston, MA",22.0,100000.0,"Key need is a Data Scientist (3+ years), MUST Have prior startup experience.  data mining, manipulation, analysis, charting and other visualization and...","Data Scientist - Fintech startup, R, Python, big data candyl...",0,0
82,AA Search,"Cambridge, MA",22.0,160000.0,The Cognitive/AI Data Scientist will be a leader in Artificial Intelligence/Computer Vision/Machine Learning....,Cognitive / AI Data Scientist,1,0
88,Jobspring Partners,"Boston, MA 02116 (South End area)",22.0,70000.0,Individual must have prior working experience as a Data Scientist and have built an algorithm from scratch. A retail company in Boston is looking to hire one...,Data Scientist,0,0
18,Portland General Electric,"Portland, OR 97204 (Downtown area)",25.0,90000.0,\*\*\*\*\*\*\*\* Please visit our link below to apply!!!! Applications received through Indeed system will NOT be considered\*\*\*\*\*\*\* APPLICATION,"Analyst IV, Business - Manager, Financial Reprting & Researc...",0,1
39,Acumen Executive & Talent Search,"Portland, OR",25.0,85000.0,Scientist and/or work within highly technical environments but love the business side of BioTech. Provide monthly tracking of existing orders and historical...,Account Manager,0,1
40,Oregon Health & Science University,"Portland, OR",25.0,70308.0,"This position is responsible for providing system analysis, project coordination and management support for research applications. This support will include",Project Analyst/Coordinator - Research Applications (System/...,0,0
36,Oscar Technology,"Baltimore, MD",27.0,160000.0,"We have a team of advanced PhD Data Scientists, working on innovative Machine Learning solutions, using Neural Networks. This is a HANDS ON Data Science role....",Sr Data Scientist,1,1
98,WSSC,"Laurel, MD 20707",27.0,74399.0,"Ability to plan and oversee the work of professional engineers and scientists; Supports and works with scientists, engineers and other employees in the study...",Principal Environmental Engineer,0,1
1,Analytic Recruiting,"Atlanta, GA",28.0,75000.0,"Junior Data Scientist sought by Fortune 500 company in their Alpharetta, GA offices. Ability to apply logic to design and implement data mining techniques on...",Junior Data Scientist,0,0
4,Centers for Disease Control and Prevention,"Atlanta, GA",28.0,90023.0,"Basic Qualification for Health Scientist, GS-0601-13:. Interpreting data and scientific literature for the purpose of developing....",Health Scientist,0,0
31,Smith Hanley Associates,"Atlanta, GA",28.0,90000.0,"-Provide expertise in problem design, data development, model development, and ongoing model monitoring and validation. Smith Hanley Associates....",Statistician - Model Validation,0,0
47,Centers for Disease Control and Prevention,"Atlanta, GA",28.0,90023.0,"Conduct in-depth analyses of data and prepares a variety of technical and nontechnical reports, including manuscripts for publication in peer-reviewed...",Economist,0,0
77,eHire,"Atlanta, GA 30309 (Midtown area)",28.0,150000.0,Senior Data Scientist w/ AWS. A strong understanding of data profiling and data cleansing techniques. The Senior Data Scientist is responsible for collecting...,Sr Data Scientist (AWS) (indsp),1,1
81,Centers for Disease Control and Prevention,"Atlanta, GA",28.0,106380.0,As a Lead Health Scientist you will:. Analyze epidemiologic investigation data utilizing new methodologies or existing techniques that have been extensively...,Lead Health Scientist,0,1
85,Principle Solutions Group,"Roswell, GA",28.0,120000.0,Knowledge of credit bureau and alternative data a plus. 5+ years of experience in statistical credit risk modeling and quantitative data analysis....,Senior Statistical Consultant,1,1
92,Centers for Disease Control and Prevention,"Atlanta, GA",28.0,106380.0,External data sources and the linkage of those data sources to existing and new. Provides data management and analysis and....,Information Technologist Specialist (DATA MGMT),0,0
97,Choice Technology Group,"Alpharetta, GA",28.0,160000.0,"Our client is one of the world' s largest B2B cloud companies, and their Technology team is comprised of brilliant engineers, architects, data scientists,...",Automation Architect,1,0
30,TERADEEP INC.,"Campbell, CA",30.0,120000.0,Large Scale Data Extraction and Preparation. Develops Deep Learning HW & SW Acceleration solutions for datacenter applications....,STAFF DATA SCIENTIST / DEEP LEARNING,1,0
30,TERADEEP INC.,"Campbell, CA",31.0,120000.0,Large Scale Data Extraction and Preparation. Develops Deep Learning HW & SW Acceleration solutions for datacenter applications....,STAFF DATA SCIENTIST / DEEP LEARNING,1,0
10,TERADEEP INC.,"Campbell, CA",32.0,120000.0,Large Scale Data Extraction and Preparation. Develops Deep Learning HW & SW Acceleration solutions for datacenter applications....,STAFF DATA SCIENTIST / DEEP LEARNING,1,0
53,AA Search,"Cambridge, MA",33.0,160000.0,The Cognitive/AI Data Scientist will be a leader in Artificial Intelligence/Computer Vision/Machine Learning....,Cognitive / AI Data Scientist,1,0
54,The Bivium Group,"Boston, MA",33.0,140000.0,"Key need is a Data Scientist (3+ years), MUST Have prior startup experience. Large data sets, working with distributed computing tools a plus (Map/Reduce,...","Data Scientist - Fintech startup, R, Python, big data",1,0
14,Ascendo Resources,"Doral, FL",34.0,75000.0,"Our client is We looking for a Data Scientist that will help discover the information hidden in vast amounts of data, and help us make smarter decisions to...",Data Scientist (R Language),0,0
17,Smith Hanley Associates,"Miami, FL",34.0,75000.0,"Conduct analysis of business data to present insights. Execute operations research projects, manage data requirements, strategy, and delivery of results....",Statistical Operations Research Analyst,0,0
